station_id,latitude,longitude,elevation,declination,declination_model,comments,channels_recorded,start_time,end_time,sample_rate,n_runs,instrument,mth5_file,duration_days
VIC058R,-37.2364,148.47084,593.0,12.755,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2016-11-13 00:00:00+00:00,2017-02-17 17:23:06+00:00,1.0,2,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC058R.h5,96.724375
VIC059,-36.49998,140.99515,148.0,9.2,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-13 01:00:00+00:00,2014-06-29 14:33:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC059.h5,16.56527662037037
VIC060,-36.49795,141.50801,176.0,9.5,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-12 02:00:00+00:00,2014-06-26 05:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC060.h5,14.166665509259259
VIC061,-36.49721,142.00276,120.0,9.8,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-11 03:00:00+00:00,2014-06-26 04:59:59.900000+00:00,10.0,2,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC061.h5,15.083332175925925
VIC062,-36.53301,142.47958,142.0,10.0,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-10 23:00:00+00:00,2014-07-01 07:59:59.900000+00:00,10.0,3,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC062.h5,20.374998842592593
VIC063,-36.48613,143.002,151.0,10.2,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-06-17 02:00:00+00:00,2014-07-03 03:59:59.900000+00:00,10.0,12,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC063.h5,16.083332175925925
VIC064R,-36.50043,143.49446,205.0,10.476,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2016-12-09 00:00:00+00:00,2017-01-18 21:32:53+00:00,1.0,1,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC064R.h5,40.897835648148146
VIC065R,-36.52641,143.96562,142.0,10.682,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2016-06-22 00:38:00+00:00,2017-01-17 23:59:59+00:00,1.0,4,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC065R.h5,209.97359953703705
VIC066,-36.51636,144.50145,144.0,10.896,AGRF,nan,"['bx', 'by', 'bz', 'ex', 'ey']",2014-07-31 05:00:00+00:00,2014-08-17 04:59:59.900000+00:00,10.0,1,EDL,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\EDL_MTH5\VIC066.h5,16.999998842592593
VIC067R,-36.51231,144.99667,112.0,11.109,AGRF,,"['bx', 'by', 'bz', 'ex', 'ey', 'temperature_e', 'temperature_h']",2016-08-11 00:00:00+00:00,2017-01-18 23:59:59+00:00,1.0,3,LEMI-424,E:\MT_Timeseries_DATA\MT_AusLAMP_GA\LEMI_MTH5\VIC067R.h5,160.99998842592592
